Fueltankcapacity,Weight
13.2,2705
18,3560
16.9,3375
21.1,3405
21.1,3640
16.4,2880
18,3470
23,4105
18.8,3495
18,3620
20,3935
15.2,2490
15.6,2785
15.5,3240
16.5,3195
20,3715
27,4025
23,3910
20,3380
18,3515
16,3085
16,3570
13.2,2270
14,2670
16,2970
20,3705
16,3080
19.8,3805
13.2,2295
18,3490
10,1845
13.2,2530
15.9,2690
15.4,2850
15.5,2710
21,3735
16,3325
20,3950
10.6,1695
12.4,2475
15.9,2865
11.9,2350
17,3040
11.9,2345
13.7,2620
11.9,2285
17.2,2885
22.5,4000
18.5,3510
20.6,3515
18.4,3695
20,4055
13.2,2325
14.5,2440
15.5,2970
19.6,3735
20,2895
14.5,2920
18.5,3525
11.1,2450
18,3610
13.2,2295
19,3730
13.2,2545
15.9,3050
20,4100
18.5,3200
15.2,2910
16.5,2890
20,3715
18,3470
15.9,2640
13.2,2350
15.2,2575
15.5,3240
16.5,3450
18,3495
18,2775
12.8,2495
9.2,2045
15.9,2490
15.9,3085
10.6,1965
11.9,2055
15.9,2950
18.5,3030
19.8,3785
12.4,2240
21.1,3960
18.5,2985
18.5,2810
15.8,2985
19.3,3245
